no,part_no,sparepart,stok,jumlah_terjual,harga,kategori_sparepart,klasifikasi
1,99000-990C5-A01,A/C FILTER ANTIALLERGEN EFFECT,banyak,tinggi,murah,fast,laris
2,99000-99023-A96,FRONT UNDER SPOILER,sedang,rendah,mahal,slow,tidak laris
3,99000-99056-A2G,ROOF END SPOILER,sedang,rendah,mahal,slow,tidak laris
4,99000-99064-B1R,"UNDER SPOILER,FRONT",sedang,rendah,mahal,slow,tidak laris
5,99000-99076-FB0,FOG LAMP BEZEL,banyak,tinggi,murah,slow,laris
6,99000-990J5-AC4,CONSOLE BOX,sedang,rendah,mahal,slow,tidak laris
7,99000-99064-B1N,"SIDE UNDER GARNISH,GRAY MET",sedang,rendah,mahal,slow,tidak laris
8,99000-990C5-A03,"A/C FILTER, ANTIBACTERIAL APPLICABLE EFFECT",banyak,tinggi,murah,fast,laris
9,99000-990G4-A01,"A/C FILTER, ANTIBACTERIAL APPLICABLE EFFECT",banyak,tinggi,murah,fast,laris
10,35526-71L00-000,"BRACKET, ILLUMINATION RH (SWIFT SAI)",banyak,tinggi,murah,slow,laris
11,35566-71L00-000,"BRACKET, ILLUMINATION LH (SWIFT SAI)",banyak,tinggi,murah,slow,laris
12,36553-71L00-000,"LAMP ASSY, ILLUMINATION RH (SWIFT SAI)",sedang,rendah,mahal,slow,tidak laris
13,36554-71L00-000,"LAMP ASSY, ILLUMINATION LH (SWIFT SAI)",sedang,rendah,mahal,slow,tidak laris
14,71735-61P00-000,"SUPPORT, FRONT FOG LAMP SIDE RH (SWIFT SAI)",banyak,tinggi,murah,critical,laris
15,71736-61P00-000,"SUPPORT, FRONT FOG LAMP SIDE LH (SWIFT SAI)",banyak,tinggi,murah,critical,laris
16,71750-60P20-5PK,"BEZEL, FRONT FOG LAMP RH (SWIFT SAI)",sedang,tinggi,murah,slow,laris
17,71787-79M00-ZJ3,"PROTECTOR, FR BUMPER EXT CTR (CIAZ RS)",sedang,tinggi,murah,slow,laris
18,71788-79M00-ZJ3,"PROTECTOR, FR BUMPER EXT SIDE (CIAZ RS)",sedang,rendah,murah,slow,tidak laris
19,71792-60P00-000,"BRACE, FRONT BUMPER SIDE LH (SWIFT SAI)",sedang,tinggi,murah,slow,laris
20,71863-79M00-ZJ3,"PROTECTOR, RR BUMPER EXT CTR (CIAZ RS)",sedang,tinggi,murah,slow,laris
21,71864-79M00-ZJ3,PROTECTOR. RR BUMPER EXT SIDE (CIAZ RS),sedang,tinggi,murah,slow,laris
22,77232-82K00-000,"PROTECTOR, SIDE SILL SPLASH (CIAZ RS)",sedang,rendah,murah,slow,tidak laris
23,71791-60P00-000,"BRACE, FRONT BUMPER SIDE RH (SWIFT SAI)",banyak,tinggi,murah,slow,laris
24,73821-62R00-5PK,"GARNISH,I/P CTR(BLACK)",banyak,tinggi,murah,slow,laris
25,73821-62R30-CF4,"GARNISH,I/P CTR",banyak,tinggi,murah,slow,laris
26,99250-68P00-000,"AC FILTER, ANTI PM2.5",banyak,tinggi,murah,fast,laris
27,99000-99036-A16,STICKER,sedang,rendah,murah,slow,tidak laris
28,99000-99036-A18,STICKER,banyak,tinggi,murah,slow,laris
29,99000-99036-B21,"GRAPHIC SET,SPORT MIND",sedang,rendah,murah,slow,tidak laris
30,99000-99036-B22,"GRAPHIC SET,SPORT MIND",sedang,tinggi,murah,slow,laris
31,990E0-78R07-000,SIDE BODY MOLDING JIMNY,sedang,rendah,mahal,slow,tidak laris
32,99115-78R10-000,FRONT BUMPER UNDER GARNISH,dikit,rendah,mahal,slow,tidak laris
33,99118-78R00-BK1,"MUD FLAP FRONT,BLACK",sedang,rendah,mahal,slow,tidak laris
34,99118-78R10-BK1,"MUD FLAP REAR,BLACK",sedang,rendah,mahal,slow,tidak laris
35,99122-78R00-000,"COVER,DOOR MIRROR (CHROME)",dikit,rendah,mahal,slow,tidak laris
36,99126-78R00-000,DOOR HANDLE ESCUTCHEON,sedang,rendah,mahal,slow,tidak laris
37,99152-78R00-000,LUGGAGE NET,sedang,rendah,mahal,slow,tidak laris
38,99152-78R10-000,REAR GATE NET,sedang,rendah,mahal,slow,tidak laris
39,99233-78R00-QKJ,"AIR VENTS,HAGANE SILVER",dikit,rendah,mahal,slow,tidak laris
40,9923D-78R10-001,"AT SHIFT PANEL,RHD,HAGANE SILVER",sedang,tinggi,mahal,slow,tidak laris
41,9923D-78R10-002,"AT SHIFT PANEL,RHD,STAIN SILVER",sedang,rendah,mahal,slow,tidak laris
42,99112-78R10-000,SIDE UNDER GARNISH,dikit,rendah,mahal,slow,tidak laris
43,75901-77RK0-WBM,"MAT SET,FLOOR (MT)",banyak,rendah,mahal,slow,tidak laris
