no,part_no,Sparepart,Stok,Jumlah,Harga,Kategori,Klasifikasi
1.0,99000-990C5-A01,A/C FILTER ANTIALLERGEN EFFECT,Banyak,Tinggi,Murah,Fast,laris
2.0,99000-99023-A96,FRONT UNDER SPOILER,Sedang,Rendah,Mahal,Slow,tidak laris
3.0,99000-99056-A2G,ROOF END SPOILER,Sedang,Rendah,Mahal,Slow,tidak laris
4.0,99000-99064-B1R,"UNDER SPOILER,FRONT",Sedang,Rendah,Mahal,Slow,tidak laris
5.0,99000-99076-FB0,FOG LAMP BEZEL,Banyak,Tinggi,Murah,Slow,laris
6.0,99000-990J5-AC4,CONSOLE BOX,Sedang,Rendah,Mahal,Slow,tidak laris
7.0,99000-99064-B1N,"SIDE UNDER GARNISH,GRAY MET",Sedang,Rendah,Mahal,Slow,tidak laris
8.0,99000-990C5-A03,"A/C FILTER, ANTIBACTERIAL APPLICABLE EFFECT",Banyak,Tinggi,Murah,Fast,laris
9.0,99000-990G4-A01,"A/C FILTER, ANTIBACTERIAL APPLICABLE EFFECT",Banyak,Tinggi,Murah,Fast,laris
10.0,35526-71L00-000,"BRACKET, ILLUMINATION RH (SWIFT SAI)",Banyak,Tinggi,Murah,Slow,laris
11.0,35566-71L00-000,"BRACKET, ILLUMINATION LH (SWIFT SAI)",Banyak,Tinggi,Murah,Slow,laris
12.0,36553-71L00-000,"LAMP ASSY, ILLUMINATION RH (SWIFT SAI)",Sedang,Rendah,Mahal,Slow,tidak laris
13.0,36554-71L00-000,"LAMP ASSY, ILLUMINATION LH (SWIFT SAI)",Sedang,Rendah,Mahal,Slow,tidak laris
14.0,71735-61P00-000,"SUPPORT, FRONT FOG LAMP SIDE RH (SWIFT SAI)",Banyak,Tinggi,Murah,Critical,laris
15.0,71736-61P00-000,"SUPPORT, FRONT FOG LAMP SIDE LH (SWIFT SAI)",Banyak,Tinggi,Murah,Critical,laris
16.0,71750-60P20-5PK,"BEZEL, FRONT FOG LAMP RH (SWIFT SAI)",Sedang,Tinggi,Murah,Slow,laris
17.0,71787-79M00-ZJ3,"PROTECTOR, FR BUMPER EXT CTR (CIAZ RS)",Sedang,Tinggi,Murah,Slow,laris
18.0,71788-79M00-ZJ3,"PROTECTOR, FR BUMPER EXT SIDE (CIAZ RS)",Sedang,Rendah,Murah,Slow,laris
19.0,71792-60P00-000,"BRACE, FRONT BUMPER SIDE LH (SWIFT SAI)",Sedang,Tinggi,Murah,Slow,laris
20.0,71863-79M00-ZJ3,"PROTECTOR, RR BUMPER EXT CTR (CIAZ RS)",Sedang,Tinggi,Murah,Slow,laris
21.0,71864-79M00-ZJ3,PROTECTOR. RR BUMPER EXT SIDE (CIAZ RS),Sedang,Rendah,Murah,Slow,laris
22.0,77232-82K00-000,"PROTECTOR, SIDE SILL SPLASH (CIAZ RS)",Sedang,Rendah,Murah,Slow,laris
23.0,71791-60P00-000,"BRACE, FRONT BUMPER SIDE RH (SWIFT SAI)",Banyak,Tinggi,Murah,Slow,laris
24.0,73821-62R00-5PK,"GARNISH,I/P CTR(BLACK)",Banyak,Tinggi,Murah,Slow,laris
25.0,73821-62R30-CF4,"GARNISH,I/P CTR",Banyak,Tinggi,Murah,Slow,laris
26.0,99250-68P00-000,"AC FILTER, ANTI PM2.5",Banyak,Tinggi,Murah,Fast,laris
27.0,99000-99036-A16,STICKER,Sedang,Rendah,Murah,Slow,laris
28.0,99000-99036-A18,STICKER,Banyak,Tinggi,Murah,Slow,laris
29.0,99000-99036-B21,"GRAPHIC SET,SPORT MIND",Sedang,Rendah,Murah,Slow,laris
30.0,99000-99036-B22,"GRAPHIC SET,SPORT MIND",Sedang,Rendah,Murah,Slow,laris
31.0,990E0-78R07-000,SIDE BODY MOLDING JIMNY,Sedang,Rendah,Mahal,Slow,tidak laris
32.0,99115-78R10-000,FRONT BUMPER UNDER GARNISH,Dikit,Rendah,Mahal,Slow,tidak laris
