NO,PART_NO,SPAREPART,STOK,TERJUAL,HARGA,KATEGORI,KLASIFIKASI
1,99000-990C5-A01,A/C FILTER ANTIALLERGEN EFFECT,Banyak,Tinggi,Murah,Fast,Laris
2,99000-99023-A96,FRONT UNDER SPOILER,Sedang,Rendah,Mahal,Slow,Tidak Laris
3,99000-99056-A2G,ROOF END SPOILER,Sedang,Rendah,Mahal,Slow,Tidak Laris
4,99000-99064-B1R,"UNDER SPOILER,FRONT",Sedang,Rendah,Mahal,Slow,Tidak Laris
5,99000-99076-FB0,FOG LAMP BEZEL,Banyak,Tinggi,Murah,Slow,Laris
6,99000-990J5-AC4,CONSOLE BOX,Sedang,Rendah,Mahal,Slow,Tidak Laris
7,99000-99064-B1N,"SIDE UNDER GARNISH,GRAY MET",Sedang,Rendah,Mahal,Slow,Tidak Laris
8,99000-990C5-A03,"A/C FILTER, ANTIBACTERIAL APPLICABLE EFFECT",Banyak,Tinggi,Murah,Fast,Laris
9,99000-990G4-A01,"A/C FILTER, ANTIBACTERIAL APPLICABLE EFFECT",Banyak,Tinggi,Murah,Fast,Laris
10,35526-71L00-000,"BRACKET, ILLUMINATION RH (SWIFT SAI)",Banyak,Tinggi,Murah,Slow,Laris
11,35566-71L00-000,"BRACKET, ILLUMINATION LH (SWIFT SAI)",Banyak,Tinggi,Murah,Slow,Laris
12,36553-71L00-000,"LAMP ASSY, ILLUMINATION RH (SWIFT SAI)",Sedang,Rendah,Mahal,Slow,Tidak Laris
13,36554-71L00-000,"LAMP ASSY, ILLUMINATION LH (SWIFT SAI)",Sedang,Rendah,Mahal,Slow,Tidak Laris
14,71735-61P00-000,"SUPPORT, FRONT FOG LAMP SIDE RH (SWIFT SAI)",Banyak,Tinggi,Murah,Critical,Laris
15,71736-61P00-000,"SUPPORT, FRONT FOG LAMP SIDE LH (SWIFT SAI)",Banyak,Tinggi,Murah,Critical,Laris
16,71750-60P20-5PK,"BEZEL, FRONT FOG LAMP RH (SWIFT SAI)",Sedang,Tinggi,Murah,Slow,Laris
17,71787-79M00-ZJ3,"PROTECTOR, FR BUMPER EXT CTR (CIAZ RS)",Sedang,Tinggi,Murah,Slow,Laris
18,71788-79M00-ZJ3,"PROTECTOR, FR BUMPER EXT SIDE (CIAZ RS)",Sedang,Rendah,Murah,Slow,Laris
19,71792-60P00-000,"BRACE, FRONT BUMPER SIDE LH (SWIFT SAI)",Sedang,Tinggi,Murah,Slow,Laris
20,71863-79M00-ZJ3,"PROTECTOR, RR BUMPER EXT CTR (CIAZ RS)",Sedang,Tinggi,Murah,Slow,Laris
21,71864-79M00-ZJ3,PROTECTOR. RR BUMPER EXT SIDE (CIAZ RS),Sedang,Rendah,Murah,Slow,Laris
22,77232-82K00-000,"PROTECTOR, SIDE SILL SPLASH (CIAZ RS)",Sedang,Rendah,Murah,Slow,Laris
23,71791-60P00-000,"BRACE, FRONT BUMPER SIDE RH (SWIFT SAI)",Banyak,Tinggi,Murah,Slow,Laris
24,73821-62R00-5PK,"GARNISH,I/P CTR(BLACK)",Banyak,Tinggi,Murah,Slow,Laris
25,73821-62R30-CF4,"GARNISH,I/P CTR",Banyak,Tinggi,Murah,Slow,Laris
26,99250-68P00-000,"AC FILTER, ANTI PM2.5",Banyak,Tinggi,Murah,Fast,Laris
27,99000-99036-A16,STICKER,Sedang,Rendah,Murah,Slow,Laris
28,99000-99036-A18,STICKER,Banyak,Tinggi,Murah,Slow,Laris
29,99000-99036-B21,"GRAPHIC SET,SPORT MIND",Sedang,Rendah,Murah,Slow,Laris
30,99000-99036-B22,"GRAPHIC SET,SPORT MIND",Sedang,Rendah,Murah,Slow,Laris
31,990E0-78R07-000,SIDE BODY MOLDING JIMNY,Sedang,Rendah,Mahal,Slow,Tidak Laris
32,99115-78R10-000,FRONT BUMPER UNDER GARNISH,Dikit,Rendah,Mahal,Slow,Tidak Laris
33,99118-78R00-BK1,"MUD FLAP FRONT,BLACK",Sedang,Rendah,Mahal,Slow,Tidak Laris
34,99118-78R10-BK1,"MUD FLAP REAR,BLACK",Sedang,Rendah,Mahal,Slow,Tidak Laris
35,99122-78R00-000,"COVER,DOOR MIRROR (CHROME)",Dikit,Rendah,Mahal,Slow,Tidak Laris
36,99126-78R00-000,DOOR HANDLE ESCUTCHEON,Sedang,Rendah,Mahal,Slow,Tidak Laris
37,99152-78R00-000,LUGGAGE NET,Sedang,Rendah,Mahal,Slow,Tidak Laris
38,99152-78R10-000,REAR GATE NET,Sedang,Rendah,Mahal,Slow,Tidak Laris
39,99233-78R00-QKJ,"AIR VENTS,HAGANE SILVER",Dikit,Rendah,Mahal,Slow,Tidak Laris
